instancia,vertices,arestas,terminais,cplex_custo,cplex_tempo (s),simplex_custo,simplex_tempo (s),isolation_custo,isolation_tempo (s),local_search_custo_1,local_search_tempo_1 (s),local_search_custo_2,local_search_tempo_2 (s),local_search_custo_3,local_search_tempo_3 (s),calinescu_custo,calinescu_tempo (s),buchbinder_custo,buchbinder_tempo (s)
N160_M2N_K10_1,160,431,10,1671.0,1.156848286,1671.0,0.472343416,1842.0,0.472343416,1674.0,0.396490834,1672.0,0.176902792,1697.0,0.084397902,1671.0,0.479991192,1671.0,0.473964606
N160_M2N_K10_2,160,446,10,1798.0,2.900115059,1798.0,0.372247839,2145.0,0.372247839,1805.0,0.275245113,1804.0,0.191696814,1804.0,0.161611458,1798.0,0.382134997,1798.0,0.373879358
N160_M2N_K10_3,160,435,10,1402.0,2.51934931,1402.0,0.414600479,1538.0,0.414600479,1406.0,0.47220387,1404.0,0.235771975,1425.0,0.089813059,1402.0,0.427656071,1402.0,0.458255114
N160_M2N_K20_1,160,373,20,1907.0,1.327378658,1907.0,0.574851685,1948.0,0.574851685,1911.0,0.51626412,1911.0,0.467634406,1916.0,0.125860081,1907.0,0.583573903,1907.0,0.576975408
N160_M2N_K20_2,160,373,20,1891.0,1.86082535,1891.0,0.607982862,1983.0,0.607982862,1899.0,0.417831139,1907.0,0.265984987,1909.0,0.172070179,1891.0,0.61793662,1891.0,0.660918978
N160_M2N_K20_3,160,372,20,1992.0,1.244742077,1992.0,0.608000388,2073.0,0.608000388,1995.0,0.419740514,2004.0,0.256585761,2005.0,0.16691892,1992.0,0.617758336,1992.0,0.657996647
N160_M2N_K40_1,160,341,40,1963.0,1.84052378,1963.0,1.004525408,2200.0,1.004525408,1966.0,0.865125036,1964.0,0.451566767,1965.0,0.345795182,1963.0,1.018932216,1963.0,1.009055642
N160_M2N_K40_2,160,339,40,1687.0,1.739732681,1687.0,0.645248041,1919.0,0.645248041,1688.0,0.585856529,1690.0,0.375982798,1690.0,0.264026489,1687.0,0.657649194,1687.0,0.753256164
N160_M2N_K40_3,160,342,40,2029.0,1.792550336,2029.0,0.770211296,2267.0,0.770211296,2031.0,0.69968482,2030.0,0.40268461,2035.0,0.357914375,2029.0,0.783391819,2029.0,0.774889607
N160_M4N_K10_1,160,667,10,1861.0,4.777194564,1861.0,2.240674125,2011.0,2.240674125,1861.0,0.356208204,1865.0,0.375955343,1874.0,0.25714,1861.0,2.250064034,1861.0,2.274999771
N160_M4N_K10_2,160,670,10,1682.0,3.937285105,1682.0,1.539676441,1801.0,1.539676441,1684.0,0.417689611,1684.0,0.386095242,1690.0,0.298624727,1682.0,1.550852657,1682.0,1.583320652
N160_M4N_K10_3,160,672,10,1538.0,4.018882731,1538.0,1.565358413,1604.0,1.565358413,1540.0,0.438913207,1551.0,0.283136657,1561.0,0.336584796,1538.0,1.577047133,1538.0,1.569282499
N160_M4N_K20_1,160,643,20,2220.0,12.846826037,2220.0,1.693888525,2861.0,1.693888525,2223.0,0.981699915,2227.0,0.799801114,2231.0,0.768913026,2220.0,1.703266291,2220.0,1.697231308
N160_M4N_K20_2,160,649,20,2305.0,12.194975818,2305.0,1.701913021,3001.0,1.701913021,2314.0,1.048472808,2314.0,0.737301091,2314.0,0.657487275,2305.0,1.713022203,2305.0,1.707181744
N160_M4N_K20_3,160,649,20,1985.0,12.686255213,1985.0,1.59365835,2299.0,1.59365835,1989.0,1.111988547,1992.0,0.791861355,1990.0,0.982241684,1985.0,1.602551558,1985.0,1.596837707
N160_M4N_K40_1,160,629,40,3546.0,15.503349495,3546.0,1.266836767,4672.0,1.266836767,3550.0,1.792909896,3549.0,1.456800086,3551.0,1.420061892,3546.0,1.280569253,3546.0,1.430298522
N160_M4N_K40_2,160,629,40,3751.0,13.829616732,3751.0,1.168373629,4893.0,1.168373629,3755.0,2.192110403,3753.0,1.378556841,3753.0,1.277401809,3751.0,1.181984743,3751.0,1.326394519
N160_M4N_K40_3,160,627,40,4272.0,14.224661433,4272.0,1.189120291,5516.0,1.189120291,4276.0,1.799876374,4274.0,1.488589184,4272.0,1.482793636,4272.0,1.202994395,4272.0,1.363320525
N160_M8N_K10_1,160,1239,10,2446.0,19.64963162,2446.0,2.458090942,2943.0,2.458090942,2457.0,1.276103197,2459.0,1.314962414,2461.0,1.115828818,2446.0,2.472454053,2446.0,2.462476043
N160_M8N_K10_2,160,1239,10,2363.0,21.931860837,2362.5,4.70344642,2676.0,4.70344642,2384.0,1.17482713,2392.0,1.03603291,2417.0,0.838943995,2475.0,4.738279563,2374.0,4.716548169
N160_M8N_K10_3,160,1240,10,2341.0,21.70078347,2341.0,5.503655883,2691.0,5.503655883,2359.0,1.412656189,2375.0,2.343367568,2351.0,1.384351905,2341.0,5.513915943,2341.0,5.580156607
N160_M8N_K20_1,160,1219,20,4413.0,45.155558173,4413.0,1.700011508,5988.0,1.700011508,4430.0,3.23707016,4420.0,3.089093673,4419.0,3.108169046,4413.0,1.713728686,4413.0,1.707272222
N160_M8N_K20_2,160,1208,20,3755.0,45.047287439,3755.0,2.206807344,4958.0,2.206807344,3781.0,3.666069028,3761.0,3.740049258,3771.0,3.036273124,3755.0,2.220366502,3755.0,2.213994286
N160_M8N_K20_3,160,1227,20,4702.0,48.639018433,4702.0,1.948750932,6353.0,1.948750932,4733.0,3.51856598,4711.0,3.484405071,4729.0,3.202967096,4702.0,1.968415956,4702.0,1.96123874
N160_M8N_K40_1,160,1225,40,9741.0,92.217423996,9741.0,1.913372179,12632.0,1.913372179,9742.0,6.717849753,9742.0,6.614296248,9742.0,6.483479323,9741.0,1.93401742,9741.0,1.924213457
N160_M8N_K40_2,160,1219,40,9736.0,89.1120464,9736.0,1.957543783,12633.0,1.957543783,9737.0,6.609461351,9736.0,6.430389985,9736.0,6.256255271,9736.0,1.976184137,9736.0,2.22019708
N160_M8N_K40_3,160,1221,40,9757.0,88.002610528,9757.0,1.873094749,12714.0,1.873094749,9767.0,6.633650937,9766.0,6.490302907,9767.0,6.544181557,9757.0,1.893227646,9757.0,2.130801134
N320_M2N_K20_1,320,874,20,3861.0,15.499258917,3861.0,3.39028621,4449.0,3.39028621,3874.0,1.583045808,3871.0,1.665461419,3886.0,1.23795851,3861.0,3.402863757,3861.0,3.491513618
N320_M2N_K20_2,320,890,20,3569.0,15.950570505,3569.0,2.870343734,4219.0,2.870343734,3581.0,1.645373517,3577.0,1.288853403,3604.0,1.335011486,3569.0,2.881672029,3569.0,2.874861406
N320_M2N_K20_3,320,875,20,3316.0,16.653658782,3316.0,2.682563032,3739.0,2.682563032,3330.0,1.419055654,3329.0,1.191532937,3332.0,1.329810626,3316.0,2.694792196,3316.0,2.769603674
N320_M2N_K40_1,320,761,40,4097.0,20.820406967,4097.0,9.760898808,4212.0,9.760898808,4098.0,2.626785231,4103.0,2.317423213,4106.0,2.049896699,4097.0,9.785027155,4097.0,9.950566399
N320_M2N_K40_2,320,757,40,4153.0,21.595206042,4153.0,8.178922066,4372.0,8.178922066,4156.0,3.121357644,4164.0,2.334736164,4163.0,1.98801306,4153.0,8.202575925,4153.0,8.383046553
N320_M2N_K40_3,320,748,40,4206.0,8.99296217,4206.0,10.690864867,4420.0,10.690864867,4209.0,2.495060038,4215.0,2.081084061,4223.0,1.955107334,4206.0,10.712438377,4206.0,10.857784507
N320_M2N_K80_1,320,691,80,3987.0,12.44492373,3987.0,5.141430726,4490.0,5.141430726,3987.0,5.410147355,3989.0,3.662665475,3988.0,3.173939594,3987.0,5.182775213,3987.0,5.153387489
N320_M2N_K80_2,320,686,80,4164.0,9.845476644,4164.0,3.857626367,4886.0,3.857626367,4164.0,5.183545244,4164.0,3.976476918,4164.0,3.603155951,4164.0,3.918590243,4164.0,4.521943281
N320_M2N_K80_3,320,684,80,3971.0,10.129693885,3971.0,5.150927206,4362.0,5.150927206,3975.0,5.850314145,3973.0,3.690950291,3975.0,4.603118117,3971.0,5.203624882,3971.0,5.817019276
N320_M4N_K20_1,320,1371,20,4125.0,59.601843675,4125.0,16.880709063,4414.0,16.880709063,4126.0,3.632074962,4138.0,3.499100522,4154.0,2.858944585,4125.0,16.897157085,4125.0,16.891700246
N320_M4N_K20_2,320,1380,20,4191.0,57.046356764,4191.0,15.691118009,4607.0,15.691118009,4192.0,3.263901024,4216.0,3.422367539,4203.0,2.582419451,4191.0,15.711571919,4191.0,15.815785163
N320_M4N_K20_3,320,1377,20,4353.0,58.071983652,4353.0,15.386197208,4627.0,15.386197208,4362.0,3.404579043,4372.0,3.036300929,4380.0,3.377754599,4353.0,15.401094037,4353.0,15.506901476
N320_M4N_K40_1,320,1311,40,4579.0,203.157165666,4579.0,20.381935205,5454.0,20.381935205,4598.0,8.806011639,4590.0,7.972679654,4592.0,10.312873968,4579.0,20.419912727,4579.0,20.644531292
N320_M4N_K40_2,320,1308,40,4184.0,201.83011605,4184.0,23.416016531,4794.0,23.416016531,4199.0,9.305811898,4191.0,9.64794491,4192.0,7.321980671,4184.0,23.451586914,4184.0,23.686754192
N320_M4N_K40_3,320,1311,40,4519.0,222.846439063,4519.0,20.516193359,5509.0,20.516193359,4531.0,10.431179059,4527.0,7.604450871,4535.0,6.783925235,4519.0,20.542176417,4519.0,20.776858132
N320_M4N_K80_1,320,1268,80,8021.0,212.549975694,8021.0,6.127249475,10787.0,6.127249475,8025.0,16.765204164,8021.0,15.509529308,8022.0,12.213832588,8021.0,6.189346028,8021.0,6.149719599
N320_M4N_K80_2,320,1263,80,7796.0,194.038279391,7796.0,5.555905578,10328.0,5.555905578,7800.0,16.404191507,7800.0,13.199839424,7800.0,12.192043749,7796.0,5.619141348,7796.0,6.755187827
N320_M4N_K80_3,320,1262,80,7694.0,208.460586281,7694.0,5.651070748,10158.0,5.651070748,7699.0,16.869808512,7698.0,13.097731196,7697.0,12.324539986,7694.0,5.70447142,7694.0,5.673028509
N320_M8N_K20_1,320,2519,20,4948.0,277.56045091,4948.0,43.367323061,6061.0,43.367323061,4987.0,17.58965457,4950.0,17.62443848,4990.0,13.280942126,4948.0,43.393216232,4948.0,43.385848643
N320_M8N_K20_2,320,2532,20,4998.0,295.401134306,4998.0,39.387004941,6017.0,39.387004941,5012.0,14.799004735,5017.0,15.19708022,5015.0,15.04952093,4998.0,39.413880151,4998.0,39.405756949
N320_M8N_K20_3,320,2536,20,5002.0,282.817297927,5002.0,48.055747455,5984.0,48.055747455,5027.0,13.269513703,5032.0,14.486579409,5007.0,15.077600413,5002.0,48.081709328,5002.0,48.073910073
N320_M8N_K40_1,320,2500,40,8776.0,1140.616978303,8776.0,18.644024212,11932.0,18.644024212,8805.0,35.497338496,8791.0,33.438505988,8796.0,32.812576976,8776.0,18.686978377,8776.0,19.2939511
N320_M8N_K40_2,320,2503,40,9045.0,1132.170990984,9045.0,13.964379957,12406.0,13.964379957,9070.0,39.122980905,9055.0,29.794409622,9055.0,30.733146423,9045.0,14.010296648,9045.0,14.586913159
N320_M8N_K40_3,320,2516,40,9268.0,1223.283764317,9268.0,13.944699296,12715.0,13.944699296,9285.0,42.197493676,9287.0,30.61132064,9276.0,33.843341279,9268.0,13.98760213,9268.0,14.615295597
N320_M8N_K80_1,320,2505,80,20931.0,2179.444042491,20931.0,8.092104241,27422.0,8.092104241,20934.0,69.469738988,20933.0,64.86638297,20935.0,62.903571894,20931.0,8.185263988,20931.0,8.142376997
N320_M8N_K80_2,320,2508,80,19849.0,2194.930081126,19849.0,8.570549604,26027.0,8.570549604,19849.0,72.717211609,19850.0,64.89625582,19850.0,67.904168205,19849.0,8.651329281,19849.0,10.851798631
N320_M8N_K80_3,320,2514,80,19624.0,2191.398596479,19624.0,9.682904222,25772.0,9.682904222,19627.0,64.701034597,19628.0,65.618630405,19628.0,62.969432357,19624.0,9.763863808,19624.0,9.735619761
N640_M2N_K160_1,640,1368,160,7872.0,98.616559719,7872.0,27.201746252,9123.0,27.201746252,7872.0,50.882245052,7873.0,37.473363518,7873.0,31.797968853,7872.0,27.47027372,7872.0,27.249774518
N640_M2N_K160_2,640,1376,160,7718.0,118.754704935,7718.0,31.076553129,8892.0,31.076553129,7718.0,45.402507504,7719.0,33.111422817,7718.0,30.274756286,7718.0,31.32391076,7718.0,39.988043598
N640_M2N_K160_3,640,1378,160,8355.0,118.661342797,8355.0,31.26257085,9521.0,31.26257085,8356.0,41.988076331,8358.0,46.850379736,8359.0,33.907481589,8355.0,31.509357733,8355.0,40.175590226
N640_M2N_K40_1,640,1761,40,6568.0,268.805983082,6568.0,19.306978456,7735.0,19.306978456,6607.0,15.100293854,6579.0,12.138734611,6608.0,11.728493066,6568.0,19.342887808,6568.0,19.653663085
N640_M2N_K40_2,640,1767,40,7196.0,91.023177547,7196.0,36.637517757,9014.0,36.637517757,7206.0,14.608874868,7205.0,14.028156522,7210.0,13.317919571,7196.0,36.671316648,7196.0,36.658744624
N640_M2N_K40_3,640,1766,40,6793.0,299.792303869,6793.0,34.53224759,7913.0,34.53224759,6822.0,12.652801856,6803.0,12.311094599,6819.0,11.346577141,6793.0,34.569794423,6793.0,34.551345168
N640_M2N_K80_1,640,1518,80,8437.0,308.001183494,8437.0,118.092924423,8630.0,118.092924423,8461.0,29.307964697,8464.0,20.353192413,8460.0,26.825573591,8437.0,118.17737679,8437.0,119.534026758
N640_M2N_K80_2,640,1524,80,8448.0,117.578676409,8448.0,189.612647999,8934.0,189.612647999,8461.0,21.700406357,8461.0,19.209690988,8462.0,19.585433825,8448.0,189.689274416,8448.0,191.012901227
N640_M2N_K80_3,640,1526,80,7929.0,119.949700109,7929.0,159.458049162,8323.0,159.458049162,7950.0,24.527198522,7949.0,19.568998636,7953.0,18.88893777,7929.0,159.545276156,7929.0,159.497592433
N640_M4N_K160_1,640,2556,160,,,,,,,,,,,,,,,,
N640_M4N_K160_2,640,2550,160,,,,,,,,,,,,,,,,
N640_M4N_K160_3,640,2544,160,,,15400.0,44.474915526,20398.0,44.474915526,15402.0,164.747016785,15401.0,114.819230785,15400.0,136.739512446,15400.0,44.806484608,15400.0,60.261420678
N640_M4N_K40_1,640,2778,40,,,8870.0,206.903455419,9281.0,206.903455419,8886.0,33.577582221,8891.0,32.219277876,8890.0,30.691350969,8870.0,206.953952971,8870.0,206.923724212
N640_M4N_K40_2,640,2769,40,,,8709.0,279.241800149,9111.0,279.241800149,8720.0,29.539104954,8713.0,32.707915556,8743.0,31.602225715,8709.0,279.304716503,8709.0,279.752186109
N640_M4N_K40_3,640,2776,40,,,9306.0,330.893764221,9934.0,330.893764221,9318.0,27.363582746,9319.0,30.65871887,9334.0,28.457784568,9306.0,330.954351539,9306.0,331.486545136
N640_M4N_K80_1,640,2620,80,,,8643.0,178.160669589,10319.0,178.160669589,8663.0,92.393114348,8657.0,66.185521431,8660.0,72.936575763,8643.0,178.271136432,8643.0,180.534318998
N640_M4N_K80_2,640,2637,80,,,,,,,,,,,,,,,,
N640_M4N_K80_3,640,2631,80,,,8374.0,165.040172088,10305.0,165.040172088,8398.0,117.589604836,8393.0,78.235213677,8389.0,92.43510582,8374.0,165.151309897,8374.0,167.395237656
N640_M8N_K160_1,640,5066,160,,,,,,,,,,,,,,,,
N640_M8N_K160_2,640,5058,160,,,,,,,,,,,,,,,,
N640_M8N_K160_3,640,5055,160,,,,,,,,,,,,,,,,
N640_M8N_K40_1,640,5116,40,,,10225.0,793.504856411,12740.0,793.504856411,10247.0,183.645123986,10235.0,166.5846044,10255.0,132.930134636,10225.0,793.600221289,10225.0,794.736900096
N640_M8N_K40_2,640,5125,40,,,10153.0,795.39143761,12646.0,795.39143761,10178.0,179.607555273,10172.0,142.545047801,10179.0,135.361916534,10153.0,795.490631778,10153.0,795.434264275
N640_M8N_K40_3,640,5116,40,,,9566.0,773.580796902,11851.0,773.580796902,9591.0,149.83037397,9574.0,142.469283492,9573.0,133.825093737,9566.0,773.66857817,9566.0,773.620656828
N640_M8N_K80_1,640,5048,80,,,,,,,,,,,,,,,,
N640_M8N_K80_2,640,5058,80,,,,,,,,,,,,,,,,
N640_M8N_K80_3,640,5053,80,,,,,,,,,,,,,,,,
